source_x,source_y,reference_x,reference_y,confidence,residual_px,inlier
32.0000,32.0000,51.8822,33.4718,0.9729,1.1049,1
40.0000,32.0000,60.4684,33.8223,0.9606,0.4622,1
48.0000,32.0000,68.5951,34.0888,0.9877,0.2144,1
56.0000,32.0000,76.0323,34.2762,0.9453,0.7698,1
64.0000,32.0000,84.9566,34.3674,0.8110,0.1966,1
32.0000,40.0000,52.7398,42.0091,0.9596,0.1495,1
40.0000,40.0000,60.4637,42.2093,0.9311,0.3019,1
48.0000,40.0000,68.5001,42.4955,0.9888,0.4141,1
56.0000,40.0000,76.8160,42.9309,0.8790,0.7225,1
64.0000,40.0000,84.6729,42.7613,0.7077,0.5552,1
32.0000,48.0000,52.7283,50.8158,0.9591,0.6607,1
40.0000,48.0000,60.7201,50.4613,0.8169,0.2925,1
48.0000,48.0000,68.2514,50.0456,0.9009,0.5496,1
56.0000,48.0000,77.0499,50.6445,0.9555,0.5051,1
32.0000,56.0000,52.3693,58.5203,0.8987,0.5268,1
40.0000,56.0000,61.0365,58.0410,0.9327,0.3008,1
48.0000,56.0000,68.3178,58.5802,0.9715,0.6095,1
56.0000,56.0000,76.9685,58.3478,0.9496,0.2222,1
64.0000,56.0000,84.0298,58.6091,0.9799,0.8798,1
32.0000,64.0000,52.6771,65.9723,0.9247,0.1901,1
40.0000,64.0000,60.9856,66.2204,0.9688,0.2276,1
48.0000,64.0000,68.1815,66.0276,0.9089,0.6209,1
56.0000,64.0000,75.9392,66.2630,0.9940,0.8639,1
64.0000,64.0000,84.5371,66.0203,0.9919,0.3431,1
72.0000,64.0000,92.3860,66.4838,0.6879,0.5160,1
32.0000,72.0000,52.1376,74.5405,0.6353,0.7258,1
40.0000,72.0000,60.7455,74.0636,0.8657,0.1012,1
48.0000,72.0000,68.7914,73.6223,0.8058,0.5573,1
56.0000,72.0000,76.0842,74.3234,0.9551,0.7281,1
64.0000,72.0000,83.8961,74.4205,0.9816,0.9461,1
72.0000,72.0000,91.7664,74.1779,0.9315,1.0720,1
80.0000,72.0000,100.2472,74.1655,0.9714,0.6134,1
32.0000,80.0000,53.1815,81.7105,0.7169,0.6129,1
40.0000,80.0000,60.1456,81.7978,0.8310,0.7176,1
48.0000,80.0000,68.7193,81.7952,0.8259,0.3866,1
56.0000,80.0000,76.6228,82.2522,0.9728,0.1881,1
64.0000,80.0000,84.1673,81.9633,0.9636,0.6972,1
72.0000,80.0000,92.4186,81.5806,0.9643,0.7700,1
80.0000,80.0000,99.9944,82.3010,0.9245,0.8631,1
88.0000,80.0000,108.2153,81.6425,0.6200,0.9026,1
32.0000,88.0000,52.7512,90.1881,0.8526,0.0483,1
40.0000,88.0000,60.1406,90.1896,0.6630,0.6259,1
48.0000,88.0000,68.8603,90.4853,0.9628,0.3212,1
56.0000,88.0000,76.5189,90.5897,0.9766,0.4895,1
64.0000,88.0000,84.5687,90.1246,0.9867,0.2642,1
72.0000,88.0000,91.8896,90.2538,0.9911,0.9487,1
80.0000,88.0000,99.8692,89.7992,0.9810,1.0808,1
88.0000,88.0000,107.7596,90.5690,0.8668,1.1571,1
32.0000,96.0000,52.7725,98.4437,0.9834,0.3078,1
40.0000,96.0000,60.8488,98.2098,0.9601,0.1001,1
48.0000,96.0000,68.8086,98.4395,0.9701,0.2703,1
56.0000,96.0000,76.9456,97.7963,0.9687,0.4163,1
64.0000,96.0000,83.9214,98.5492,0.8991,0.9628,1
72.0000,96.0000,92.0989,98.4128,0.9112,0.7638,1
80.0000,96.0000,100.3554,98.3301,0.6278,0.5093,1
88.0000,96.0000,107.6255,97.9832,0.8402,1.2778,1
96.0000,96.0000,115.8616,98.6813,0.8316,1.1095,1
104.0000,96.0000,123.9914,98.8806,0.6303,1.0938,1
32.0000,104.0000,52.5551,106.5894,0.9956,0.4949,1
40.0000,104.0000,60.6847,106.8832,0.9662,0.7372,1
48.0000,104.0000,68.2435,106.7241,0.9698,0.7762,1
56.0000,104.0000,76.0904,106.2521,0.9713,0.7152,1
64.0000,104.0000,84.6637,106.1277,0.9504,0.1729,1
72.0000,104.0000,92.0253,106.3565,0.6903,0.8250,1
80.0000,104.0000,100.0478,106.1489,0.5830,0.8132,1
96.0000,104.0000,115.6457,106.8352,0.9573,1.3700,1
104.0000,104.0000,123.8796,106.4579,0.9747,1.0455,1
179.0000,32.0000,199.3490,34.2074,0.8037,0.7734,1
155.0000,48.0000,175.9198,50.7617,0.5502,0.3643,1
163.0000,64.0000,183.7732,67.4850,0.5507,1.0956,1
171.0000,64.0000,192.1091,66.9931,0.8394,0.5556,1
163.0000,72.0000,183.8206,74.6935,0.7485,0.3523,1
171.0000,72.0000,192.2969,75.1114,0.8421,0.7151,1
179.0000,72.0000,199.4519,75.0923,0.8846,0.8950,1
163.0000,80.0000,183.6940,82.3736,0.7847,0.3514,1
171.0000,80.0000,192.5809,82.6770,0.9811,0.5743,1
179.0000,80.0000,200.3944,82.7966,0.8675,0.4686,1
187.0000,80.0000,207.8613,82.5721,0.6165,0.2581,1
155.0000,88.0000,175.9578,90.4093,0.5557,0.0684,1
163.0000,88.0000,183.7465,90.2074,0.7784,0.3613,1
171.0000,88.0000,191.5051,90.0619,0.8445,0.6670,1
179.0000,88.0000,199.7854,90.6744,0.6072,0.3714,1
187.0000,88.0000,207.6995,90.3778,0.6928,0.4070,1
155.0000,96.0000,175.9237,99.1528,0.6073,0.7657,1
163.0000,96.0000,183.7777,98.4660,0.8211,0.2714,1
171.0000,96.0000,191.7113,97.9977,0.9836,0.5543,1
179.0000,96.0000,199.4978,98.2355,0.8165,0.6179,1
187.0000,96.0000,208.1910,98.7544,0.8186,0.3082,1
195.0000,96.0000,216.1764,98.2727,0.7582,0.2136,1
171.0000,104.0000,191.5953,106.3152,0.6752,0.4790,1
179.0000,104.0000,199.7878,106.5452,0.9532,0.3101,1
187.0000,104.0000,208.5383,106.3581,0.9950,0.4515,1
195.0000,104.0000,216.0122,106.7162,0.9752,0.2631,1
203.0000,104.0000,224.3519,106.5037,0.7132,0.2183,1
278.0000,32.0000,299.3587,33.9148,0.9729,0.7631,1
286.0000,32.0000,307.2847,34.4395,0.9859,0.2550,1
294.0000,32.0000,315.2097,34.6223,0.9007,0.1535,1
302.0000,32.0000,323.1703,35.2259,0.6512,0.5330,1
310.0000,32.0000,331.6137,34.9340,0.7899,0.3081,1
334.0000,32.0000,355.8603,34.1131,0.9377,0.8062,1
278.0000,40.0000,298.9658,41.7747,0.9934,0.9582,1
286.0000,40.0000,306.8596,42.0377,0.9849,0.7970,1
294.0000,40.0000,315.2317,42.2360,0.9818,0.4815,1
302.0000,40.0000,323.3957,42.6129,0.8322,0.1172,1
334.0000,40.0000,355.2450,42.0204,0.7877,0.7903,1
278.0000,48.0000,299.0834,50.3467,0.9989,0.3892,1
286.0000,48.0000,307.0677,50.4182,0.9924,0.3673,1
294.0000,48.0000,315.2466,50.1503,0.9886,0.5599,1
302.0000,48.0000,323.6701,50.4393,0.9360,0.4217,1
334.0000,48.0000,355.1102,49.8681,0.6655,0.9715,1
278.0000,56.0000,299.0163,58.0429,0.9969,0.6854,1
286.0000,56.0000,307.2093,58.7019,0.9915,0.1115,1
294.0000,56.0000,315.5323,58.7736,0.9707,0.2085,1
302.0000,56.0000,323.1867,58.2276,0.9917,0.5172,1
278.0000,64.0000,299.3225,66.5735,0.9575,0.0922,1
286.0000,64.0000,307.9131,66.4271,0.5842,0.6451,1
302.0000,64.0000,323.6824,66.2813,0.5113,0.5418,1
278.0000,72.0000,299.1605,74.5887,0.5639,0.1584,1
286.0000,72.0000,307.2889,73.7056,0.6447,0.9718,1
294.0000,72.0000,315.0362,74.7990,0.5067,0.3196,1
350.0000,72.0000,370.4459,74.9630,0.7603,1.0296,1
302.0000,80.0000,322.5460,82.5198,0.7648,0.8317,1
358.0000,80.0000,379.6006,82.1255,0.8691,0.7086,1
318.0000,96.0000,338.2034,98.5770,0.7315,1.2000,1
318.0000,104.0000,338.0664,107.2716,0.6305,1.4327,1
449.0000,48.0000,470.3618,50.8057,0.6356,0.3928,1
465.0000,48.0000,487.0727,50.4902,0.9038,0.6689,1
433.0000,56.0000,454.0354,58.9809,0.7249,0.6155,1
433.0000,96.0000,454.2906,98.5022,0.6289,0.5952,1
425.0000,104.0000,446.5551,107.0960,0.7692,0.1619,1
433.0000,104.0000,454.0393,106.4967,0.8116,0.7759,1
441.0000,104.0000,462.3676,107.0885,0.7363,0.3193,1
473.0000,104.0000,477.6866,120.7565,0.5145,21.8779,0
588.0000,48.0000,609.4135,51.2296,0.7124,0.5931,1
620.0000,48.0000,641.3233,50.8981,0.5409,0.8928,1
580.0000,72.0000,601.7727,74.4838,0.8762,0.8344,1
671.0000,32.0000,693.2071,34.4441,0.9863,1.0529,1
